,trackname,album,artist,length,popularity,danceability,acousticness,energy,instrumentalness, mode,liveness,loudness,speechiness,tempo,time_signature,valence,genres
0,Sous contrôle,Gentleman 2.0,Dadju,182560,50,0.676,0.328,0.729,0.0,0,0.106,-6.172,0.235,145.987,4,0.712,francoton
1,Dalida,Fruit du démon,Soolking,225373,47,0.753,0.66,0.728,1.32e-05,0,0.0889,-4.676,0.0449,140.129,4,0.405,francoton
13,Vroom vroom,Fruit du démon,Soolking,177493,52,0.794,0.265,0.872,0.0,1,0.197,-4.285,0.0692,99.968,4,0.524,francoton
25,Rockstar,Fruit du démon,Soolking,167520,51,0.753,0.305,0.732,0.0,1,0.0653,-5.396,0.163,140.02,4,0.471,francoton
37,Bambina,Fruit du démon,Soolking,184693,31,0.586,0.372,0.767,0.0,1,0.0913,-4.07,0.295,75.188,3,0.181,francoton
49,Amsterdam,Fruit du démon,Soolking,182986,35,0.721,0.326,0.712,0.0,1,0.0802,-5.321,0.0625,130.068,4,0.494,francoton
61,Gucci,Fruit du démon,Soolking,150000,30,0.842,0.328,0.568,0.0,1,0.0903,-5.614,0.064,113.968,4,0.288,francoton
73,Tata,Fruit du démon,Soolking,182320,34,0.769,0.273,0.867,1.88e-06,0,0.137,-3.253,0.041,99.025,4,0.284,francoton
85,HLM,Fruit du démon,Soolking,179693,30,0.87,0.291,0.849,0.0,0,0.0421,-3.375,0.275,131.014,4,0.886,francoton
97,Chica,Fruit du démon,Soolking,201973,31,0.779,0.294,0.774,4.58e-05,0,0.124,-4.609,0.0896,146.003,4,0.378,francoton
109,Cosa Nostra,Fruit du démon,Soolking,264133,46,0.738,0.588,0.798,1.11e-05,0,0.326,-4.641,0.27,150.19,4,0.375,francoton
121,Youv,Fruit du démon,Soolking,161186,33,0.704,0.488,0.92,0.0,0,0.095,-5.655,0.157,93.982,4,0.385,francoton
133,Paradise,Fruit du démon,Soolking,205773,30,0.766,0.294,0.819,2.1e-06,0,0.102,-6.524,0.131,157.959,4,0.508,francoton
145,Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,181263,76,0.922,0.00104,0.581,5.86e-05,1,0.105,-7.495,0.27,140.022,4,0.595,pop rap
146,No Stylist (feat. Drake),No Stylist,French Montana,192172,69,0.765,0.0215,0.704,0.0,0,0.227,-4.589,0.127,147.055,4,0.498,hip hop
147,91's,91's,PNL,237013,0,0.777,0.249,0.668,0.0,0,0.0778,-8.837,0.107,103.036,4,0.243,latin
148,Apache,Apache,ElGrandeToto,202266,36,0.528,0.256,0.697,0.0,1,0.124,-8.268,0.738,203.848,3,0.443,arabic hip hop
157,9awdooha,9awdooha,ElGrandeToto,230199,44,0.691,0.479,0.567,2.59e-06,0,0.271,-9.178,0.326,136.991,4,0.171,arabic hip hop
166,7elmetado 2,7elmetado 2,ElGrandeToto,234123,50,0.707,0.612,0.594,2.51e-06,1,0.171,-5.913,0.224,82.001,4,0.361,arabic hip hop
175,Versus,Versus,ElGrandeToto,241603,43,0.645,0.599,0.535,1.11e-06,1,0.116,-5.159,0.0914,82.032,4,0.13,arabic hip hop
184,Piccola,Piccola,ElGrandeToto,201177,41,0.65,0.724,0.564,0.0,1,0.314,-6.897,0.315,149.989,4,0.308,arabic hip hop
193,Déjà-vu,Illicit,ElGrandeToto,217013,44,0.484,0.514,0.724,7.93e-06,0,0.265,-6.129,0.247,92.295,3,0.894,arabic hip hop
202,Marina,Illicit,ElGrandeToto,202446,41,0.741,0.783,0.612,0.0,1,0.277,-6.548,0.108,125.069,4,0.641,arabic hip hop
211,Ohlala,Illicit,ElGrandeToto,216500,42,0.68,0.769,0.526,0.000267,0,0.112,-8.282,0.222,97.463,4,0.661,arabic hip hop
220,Chopin,Illicit,ElGrandeToto,155097,44,0.863,0.783,0.647,0.0,0,0.101,-6.618,0.146,116.028,4,0.801,arabic hip hop
229,MIA (feat. Drake),MIA (feat. Drake),Bad Bunny,210367,79,0.817,0.0141,0.539,0.000496,0,0.099,-6.349,0.0621,97.062,4,0.158,latin
