,trackname,album,artist,length,popularity,danceability,acousticness,energy,instrumentalness, mode,liveness,loudness,speechiness,tempo,time_signature,valence,genres
0,Die immer lacht - Radio 2016 Mix,Die immer lacht,Stereoact,210573,57,0.729,0.0262,0.542,5.22e-06,0,0.211,-7.671,0.0844,127.995,4,0.52,german dance
1,Sex ohne Grund (feat. Shindy),Rumble in the Jungle,Ali Bumaye,187760,62,0.899,0.167,0.6,0.0,0,0.0469,-7.052,0.327,93.982,4,0.685,gangster rap
2,Bossy Featuring Too $hort (feat. Too $hort),The Hits,Kelis,272360,41,0.906,0.000172,0.636,4.83e-06,1,0.0511,-5.318,0.188,84.011,4,0.782,alt z
3,Paradise - Radio Edit,Paradise (Radio Edit),Benny Benassi,233168,46,0.592,0.00923,0.865,0.0,1,0.12,-5.426,0.0494,127.877,4,0.511,edm
4,Bonnie & Clyde (feat. Amir der Sänger),Ego (Premium Edition),Fard,190528,35,0.38,0.123,0.839,0.0,1,0.168,-6.554,0.41,165.642,4,0.459,persian alternative
5,R.I.P. (feat. Tinie Tempah),R.I.P. (feat. Tinie Tempah),Rita Ora,228920,38,0.597,0.0329,0.833,0.0,0,0.633,-3.459,0.0569,144.101,4,0.317,australian pop
6,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,220780,77,0.64,0.119,0.533,0.0,1,0.0864,-6.596,0.0706,99.968,4,0.515,edm
7,Es tut mir doch so leid,Es tut mir doch so leid,Mergim Mjeku,195680,44,0.815,0.486,0.797,0.0,0,0.336,-4.452,0.133,103.013,4,0.294,
8,Habibi (feat. Young Zerka),Habibi (feat. Young Zerka),DJ Flow,188926,27,0.779,0.00551,0.551,0.0,1,0.0577,-6.267,0.195,125.33,5,0.565,desi hip hop
9,Vec ty,Vec ty,Dhurata Dora,219544,28,0.784,0.318,0.859,0.0375,0,0.312,-5.449,0.0577,100.002,4,0.889,francoton
12,Numrin e ri,Numrin e ri,Dhurata Dora,211413,38,0.789,0.0191,0.662,2.74e-05,0,0.0567,-9.435,0.121,95.021,4,0.661,francoton
15,Shume ON,Shume ON,Dhurata Dora,190008,32,0.767,0.00701,0.929,1.41e-05,1,0.0896,-1.151,0.244,91.094,4,0.801,francoton
18,Let Me Love You (feat. Chris Crone),Let Me Love You (feat. Chris Crone),SJUR,208886,55,0.462,0.123,0.83,0.0,0,0.0726,-4.089,0.0673,105.058,4,0.557,dance pop
19,Aja Mara - Radio Edit,Aja Mara,Iana,187111,26,0.654,0.169,0.503,2.21e-05,0,0.17,-8.435,0.115,170.178,4,0.599,hip hop
20,Mos ta nin,Mos ta nin,2Ton,197369,24,0.809,0.129,0.721,0.0,1,0.0817,-5.766,0.161,91.017,4,0.701,chicano rap
21,Safari,Safari,Maxwell,158968,60,0.834,0.243,0.768,5.18e-06,0,0.142,-7.767,0.205,129.996,4,0.738,beatlesque
22,Nah Tell Dem,Nah Tell Dem,Sanjin,185054,34,0.817,0.215,0.909,0.0,1,0.732,-3.729,0.216,92.007,4,0.713,edm
23,Rendezvous,Vision,Kurdo,225346,49,0.657,0.434,0.619,0.0,0,0.0957,-6.403,0.344,81.056,4,0.586,tollywood
24,LUV - Remix,LUV (Remix),Tory Lanez,166800,0,0.44,0.0253,0.555,0.0,0,0.872,-7.602,0.366,189.974,4,0.534,deep underground hip hop
25,Chocolata,Pak-Ind Medley,Farhana Mqasood,182334,0,0.848,0.0139,0.816,0.0016,0,0.0316,-6.705,0.144,92.005,4,0.821,desi hip hop
26,Distance,Distance,Omarion,183099,59,0.774,0.184,0.812,0.0,1,0.0757,-5.446,0.215,103.878,4,0.743,dance pop
27,Play (feat. Serani),Play (feat. Serani),Tommy Gunz,204817,28,0.688,0.0909,0.774,0.0,0,0.333,-5.189,0.0761,96.027,4,0.407,conscious hip hop
28,Phou Phou,Love the Show,Akcent,210559,0,0.606,0.134,0.494,0.501,1,0.101,-10.233,0.113,129.331,3,0.405,disco polo
29,S'po T'gjej Mo,S'po T'gjej Mo,Eni Koci,222380,0,0.629,0.0899,0.593,2.85e-05,1,0.0686,-9.76,0.49,176.074,4,0.687,albanian pop
30,Ist es das was Ihr wollt (Intro),Maximum (Deluxe Edition),KC Rebell,117799,31,0.441,0.189,0.801,0.0,0,0.472,-6.055,0.634,184.584,4,0.471,german drill
31,Aşk Eşittir Biz,Aşk Eşittir Biz,İrem Derici,239316,24,0.688,0.57,0.559,0.0,0,0.314,-6.013,0.0369,110.082,4,0.718,turkish pop
32,Te Dua,Te Dua,Mudi,158500,52,0.726,0.364,0.585,4.98e-06,0,0.11,-8.727,0.213,94.014,4,0.387,
